cdetec,fe_enc,bit_t1,bit_t0,bit_g1,bit_g0,temper,alter#
0,59.9973,0,0,2,2,-113,2
1.00E-11,72.0747,0,0,2,2,-113,3
2.00E-11,91.5096,0,0,2,2,-113,4
3.00E-11,113.9496,0,0,2,2,-113,5
4.00E-11,137.9866,0,0,2,2,-113,6
5.00E-11,162.8208,0,0,2,2,-113,7
6.00E-11,188.3114,0,0,2,2,-113,8
7.00E-11,214.0657,0,0,2,2,-113,9
8.00E-11,240.0228,0,0,2,2,-113,10
9.00E-11,266.1536,0,0,2,2,-113,11
1.00E-10,292.4848,0,0,2,2,-113,12
1.10E-10,318.8249,0,0,2,2,-113,13
1.20E-10,345.3405,0,0,2,2,-113,14
1.30E-10,371.9224,0,0,2,2,-113,15
1.40E-10,398.284,0,0,2,2,-113,16
1.50E-10,424.9066,0,0,2,2,-113,17
1.60E-10,451.7237,0,0,2,2,-113,18
1.70E-10,478.0777,0,0,2,2,-113,19
1.80E-10,504.6903,0,0,2,2,-113,20
1.90E-10,531.397,0,0,2,2,-113,21
2.00E-10,558.1145,0,0,2,2,-113,22
2.10E-10,584.8548,0,0,2,2,-113,23
2.20E-10,611.3997,0,0,2,2,-113,24
2.30E-10,637.9655,0,0,2,2,-113,25
2.40E-10,665.412,0,0,2,2,-113,26
2.50E-10,693.3818,0,0,2,2,-113,27
