#format table ## [Custom WaveView] saved 11:37:52 Wed Sep 18 2019
XVAL ,EQN.sqrt(integral(0|par(outnoise)))/1.5791*25f/1.6e-19 ,EQN.sqrt(integral(1|par(outnoise)))/1.5754*25f/1.6e-19 ,EQN.sqrt(integral(2|par(outnoise)))/1.5817*25f/1.6e-19 ,EQN.sqrt(integral(3|par(outnoise)))/1.5805*25f/1.6e-19 
 1.00000E+002 , 0.00000E+000 , 0.00000E+000 , 0.00000E+000 , 0.00000E+000 
 1.25893E+002 , 3.04546E+000 , 3.11925E+000 , 3.23848E+000 , 3.36533E+000 
 1.58489E+002 , 4.33344E+000 , 4.43950E+000 , 4.61170E+000 , 4.79511E+000 
 1.99526E+002 , 5.34552E+000 , 5.47778E+000 , 5.69397E+000 , 5.92488E+000 
 2.51189E+002 , 6.22352E+000 , 6.37947E+000 , 6.63675E+000 , 6.91300E+000 
 3.16228E+002 , 7.02326E+000 , 7.20198E+000 , 7.50063E+000 , 7.82391E+000 
 3.98107E+002 , 7.77361E+000 , 7.97527E+000 , 8.31810E+000 , 8.69338E+000 
 5.01187E+002 , 8.49104E+000 , 8.71681E+000 , 9.10910E+000 , 9.54466E+000 
 6.30957E+002 , 9.18446E+000 , 9.43647E+000 , 9.88625E+000 , 1.03941E+001 
 7.94328E+002 , 9.85695E+000 , 1.01385E+001 , 1.06571E+001 , 1.12538E+001 
 1.00000E+003 , 1.05067E+001 , 1.08224E+001 , 1.14254E+001 , 1.21328E+001 
 1.25893E+003 , 1.11286E+001 , 1.14849E+001 , 1.21930E+001 , 1.30396E+001 
 1.58489E+003 , 1.17164E+001 , 1.21217E+001 , 1.29614E+001 , 1.39829E+001 
 1.99526E+003 , 1.22658E+001 , 1.27306E+001 , 1.37345E+001 , 1.49734E+001 
 2.51189E+003 , 1.27766E+001 , 1.33135E+001 , 1.45195E+001 , 1.60229E+001 
 3.16228E+003 , 1.32533E+001 , 1.38768E+001 , 1.53265E+001 , 1.71443E+001 
 3.98107E+003 , 1.37044E+001 , 1.44306E+001 , 1.61691E+001 , 1.83519E+001 
 5.01187E+003 , 1.41406E+001 , 1.49881E+001 , 1.70644E+001 , 1.96648E+001 
 6.30957E+003 , 1.45745E+001 , 1.55653E+001 , 1.80356E+001 , 2.11119E+001 
 7.94328E+003 , 1.50195E+001 , 1.61811E+001 , 1.91143E+001 , 2.27370E+001 
 1.00000E+004 , 1.54906E+001 , 1.68590E+001 , 2.03447E+001 , 2.46044E+001 
 1.25893E+004 , 1.60048E+001 , 1.76288E+001 , 2.17873E+001 , 2.68042E+001 
 1.58489E+004 , 1.65821E+001 , 1.85294E+001 , 2.35242E+001 , 2.94585E+001 
 1.99526E+004 , 1.72476E+001 , 1.96125E+001 , 2.56660E+001 , 3.27278E+001 
 2.51189E+004 , 1.80330E+001 , 2.09478E+001 , 2.83580E+001 , 3.68136E+001 
 3.16228E+004 , 1.89803E+001 , 2.26289E+001 , 3.17851E+001 , 4.19536E+001 
 3.98107E+004 , 2.01449E+001 , 2.47793E+001 , 3.61721E+001 , 4.84011E+001 
 5.01187E+004 , 2.16004E+001 , 2.75577E+001 , 4.17705E+001 , 5.63693E+001 
 6.30957E+004 , 2.34431E+001 , 3.11582E+001 , 4.88241E+001 , 6.59205E+001 
 7.94328E+004 , 2.57958E+001 , 3.58041E+001 , 5.74987E+001 , 7.67714E+001 
 1.00000E+005 , 2.88115E+001 , 4.17344E+001 , 6.77600E+001 , 8.80092E+001 
 1.25893E+005 , 3.26790E+001 , 4.91834E+001 , 7.91780E+001 , 9.79004E+001 
 1.58489E+005 , 3.76344E+001 , 5.83457E+001 , 9.06448E+001 , 1.04580E+002 
 1.99526E+005 , 4.39806E+001 , 6.92950E+001 , 1.00264E+002 , 1.07731E+002 
 2.51189E+005 , 5.21000E+001 , 8.17681E+001 , 1.06339E+002 , 1.08764E+002 
 3.16228E+005 , 6.24306E+001 , 9.47264E+001 , 1.09005E+002 , 1.09040E+002 
 3.98107E+005 , 7.53395E+001 , 1.05990E+002 , 1.09850E+002 , 1.09119E+002 
 5.01187E+005 , 9.07601E+001 , 1.13330E+002 , 1.10085E+002 , 1.09151E+002 
 6.30957E+005 , 1.07419E+002 , 1.16649E+002 , 1.10159E+002 , 1.09171E+002 
 7.94328E+005 , 1.22140E+002 , 1.17737E+002 , 1.10193E+002 , 1.09188E+002 
 1.00000E+006 , 1.31621E+002 , 1.18048E+002 , 1.10216E+002 , 1.09203E+002 
 1.25893E+006 , 1.35763E+002 , 1.18146E+002 , 1.10234E+002 , 1.09216E+002 
 1.58489E+006 , 1.37070E+002 , 1.18189E+002 , 1.10251E+002 , 1.09230E+002 
 1.99526E+006 , 1.37430E+002 , 1.18217E+002 , 1.10266E+002 , 1.09243E+002 
 2.51189E+006 , 1.37541E+002 , 1.18239E+002 , 1.10281E+002 , 1.09256E+002 
 3.16228E+006 , 1.37591E+002 , 1.18261E+002 , 1.10298E+002 , 1.09271E+002 
