#format table ## [Custom WaveView] saved 11:32:12 Wed Sep 18 2019,,,,
XVAL ,MAG:par(outnoise) ,MAG:par(outnoise) ,MAG:par(outnoise) ,MAG:par(outnoise) 
1.00E+02,4.04E-11,4.21E-11,4.58E-11,4.93E-11
1.26E+02,3.28E-11,3.43E-11,3.73E-11,4.02E-11
1.58E+02,2.68E-11,2.80E-11,3.05E-11,3.30E-11
2.00E+02,2.20E-11,2.30E-11,2.52E-11,2.74E-11
2.51E+02,1.82E-11,1.91E-11,2.09E-11,2.29E-11
3.16E+02,1.51E-11,1.59E-11,1.75E-11,1.94E-11
3.98E+02,1.26E-11,1.33E-11,1.48E-11,1.65E-11
5.01E+02,1.05E-11,1.11E-11,1.26E-11,1.43E-11
6.31E+02,8.77E-12,9.33E-12,1.07E-11,1.24E-11
7.94E+02,7.24E-12,7.77E-12,9.14E-12,1.09E-11
1.00E+03,5.90E-12,6.40E-12,7.77E-12,9.57E-12
1.26E+03,4.72E-12,5.20E-12,6.58E-12,8.47E-12
1.58E+03,3.70E-12,4.17E-12,5.57E-12,7.54E-12
2.00E+03,2.86E-12,3.32E-12,4.74E-12,6.76E-12
2.51E+03,2.20E-12,2.65E-12,4.06E-12,6.12E-12
3.16E+03,1.70E-12,2.14E-12,3.53E-12,5.58E-12
3.98E+03,1.33E-12,1.76E-12,3.11E-12,5.13E-12
5.01E+03,1.07E-12,1.48E-12,2.80E-12,4.78E-12
6.31E+03,8.88E-13,1.28E-12,2.58E-12,4.53E-12
7.94E+03,7.59E-13,1.15E-12,2.45E-12,4.40E-12
1.00E+04,6.69E-13,1.06E-12,2.39E-12,4.40E-12
1.26E+04,6.09E-13,1.02E-12,2.42E-12,4.54E-12
1.58E+04,5.70E-13,1.01E-12,2.53E-12,4.84E-12
2.00E+04,5.50E-13,1.04E-12,2.73E-12,5.30E-12
2.51E+04,5.46E-13,1.10E-12,3.04E-12,5.95E-12
3.16E+04,5.56E-13,1.19E-12,3.46E-12,6.79E-12
3.98E+04,5.81E-13,1.34E-12,4.00E-12,7.77E-12
5.01E+04,6.23E-13,1.53E-12,4.67E-12,8.80E-12
6.31E+04,6.84E-13,1.78E-12,5.42E-12,9.62E-12
7.94E+04,7.65E-13,2.09E-12,6.15E-12,9.78E-12
1.00E+05,8.71E-13,2.46E-12,6.66E-12,8.65E-12
1.26E+05,1.01E-12,2.86E-12,6.62E-12,5.88E-12
1.58E+05,1.18E-12,3.28E-12,5.62E-12,2.61E-12
2.00E+05,1.40E-12,3.64E-12,3.55E-12,7.29E-13
2.51E+05,1.68E-12,3.77E-12,1.43E-12,1.56E-13
3.16E+05,2.03E-12,3.38E-12,3.80E-13,3.33E-14
3.98E+05,2.41E-12,2.24E-12,8.31E-14,9.57E-15
5.01E+05,2.67E-12,9.37E-13,1.95E-14,4.34E-15
6.31E+05,2.53E-12,2.59E-13,6.37E-15,2.67E-15
7.94E+05,1.70E-12,5.86E-14,3.09E-15,1.86E-15
1.00E+06,6.90E-13,1.39E-14,1.90E-15,1.36E-15
1.26E+06,1.83E-13,4.35E-15,1.30E-15,1.02E-15
1.58E+06,4.00E-14,2.01E-15,9.45E-16,7.93E-16
2.00E+06,9.15E-15,1.22E-15,7.30E-16,6.38E-16
2.51E+06,2.90E-15,8.76E-16,6.03E-16,5.40E-16
3.16E+06,1.45E-15,7.12E-16,5.39E-16,4.85E-16
3.98E+06,1.02E-15,6.55E-16,5.24E-16,4.65E-16
5.01E+06,9.00E-16,6.93E-16,5.63E-16,4.79E-16
6.31E+06,9.62E-16,8.67E-16,6.84E-16,5.34E-16
7.94E+06,1.18E-15,1.30E-15,9.74E-16,6.59E-16
1.00E+07,1.05E-15,1.58E-15,1.59E-15,9.35E-16
1.26E+07,4.17E-16,6.58E-16,1.53E-15,1.53E-15
1.58E+07,1.36E-16,1.98E-16,5.17E-16,1.82E-15
2.00E+07,5.00E-17,6.94E-17,1.62E-16,7.13E-16
2.51E+07,2.10E-17,2.83E-17,5.95E-17,2.14E-16
3.16E+07,9.97E-18,1.30E-17,2.51E-17,7.37E-17
3.98E+07,5.38E-18,6.79E-18,1.18E-17,2.85E-17
5.01E+07,3.34E-18,4.04E-18,6.28E-18,1.20E-17
6.31E+07,2.36E-18,2.73E-18,3.74E-18,5.46E-18
7.94E+07,1.84E-18,2.04E-18,2.45E-18,2.66E-18
1.00E+08,1.52E-18,1.62E-18,1.72E-18,1.38E-18
1.26E+08,1.27E-18,1.30E-18,1.23E-18,7.52E-19
1.58E+08,1.05E-18,1.04E-18,8.83E-19,4.29E-19
2.00E+08,8.43E-19,8.02E-19,6.20E-19,2.51E-19
2.51E+08,6.49E-19,5.97E-19,4.26E-19,1.49E-19
3.16E+08,4.79E-19,4.28E-19,2.86E-19,9.00E-20
3.98E+08,3.41E-19,2.97E-19,1.89E-19,5.53E-20
5.01E+08,2.35E-19,2.02E-19,1.24E-19,3.52E-20
6.31E+08,1.60E-19,1.35E-19,8.21E-20,2.37E-20
7.94E+08,1.07E-19,9.05E-20,5.49E-20,1.71E-20
1.00E+09,7.21E-20,6.09E-20,3.76E-20,1.33E-20
